Reported Date,Cal_Year,Cal_Month,Cal_DayOfMonth,Cal_DayOfWeek,Cal_DayOfWeekNum,IsWeekend,Cal_Quarter,AU_FY_Quarter,Season_SH,IsPublicHoliday_SA,IsLongWeekend,IsSchoolHoliday_SA,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count,SEIFA_SAL_code,SEIFA_SAL_name,SEIFA_IRSD_SAL_decile,SEIFA_IRSAD_SAL_decile,SEIFA_IER_SAL_decile,SEIFA_IEO_SAL_decile
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,4,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,4,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,4,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ADELAIDE,5000.0,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1,40002.0,Adelaide,4.0,9.0,1.0,10.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALBERTON,5014.0,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,40007.0,Alberton (SA),4.0,5.0,2.0,5.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALBERTON,5014.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1,40007.0,Alberton (SA),4.0,5.0,2.0,5.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALBERTON,5014.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,40007.0,Alberton (SA),4.0,5.0,2.0,5.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALBERTON,5014.0,OFFENCES AGAINST THE PERSON,ROBBERY AND RELATED OFFENCES,Aggravated robbery,2,40007.0,Alberton (SA),4.0,5.0,2.0,5.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALDINGA BEACH,5173.0,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1,40010.0,Aldinga Beach,3.0,2.0,3.0,3.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALDINGA BEACH,5173.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,40010.0,Aldinga Beach,3.0,2.0,3.0,3.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALLENBY GARDENS,5009.0,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1,40012.0,Allenby Gardens,7.0,7.0,4.0,7.0
01/07/2024,2024,7,1,Monday,0,0,3,1,Winter,0,0,0,ALLENBY GARDENS,5009.0,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1,40012.0,Allenby Gardens,7.0,7.0,4.0,7.0
